,raceId,constructorId,constructor_name,mean_time,rank
0,1,1,🇬🇧 McLaren,97563.75862068965,5.0
1,1,6,🇮🇹 Ferrari,97044.07,3.0
2,1,2,🇩🇪 BMW Sauber,96431.03539823009,2.0
3,1,4,🇫🇷 Renault,98817.5243902439,10.0
4,1,7,🇯🇵 Toyota,97565.5775862069,6.0
5,1,5,🇮🇹 Toro Rosso,97619.56896551725,7.0
6,1,9,🇦🇹 Red Bull,97791.34513274336,9.0
7,1,3,🇬🇧 Williams,96299.78666666667,1.0
8,1,10,🇮🇳 Force India,97631.69827586207,8.0
9,1,23,🇬🇧 Brawn,97520.47413793103,4.0
10,2,1,🇬🇧 McLaren,109398.54838709677,5.0
11,2,6,🇮🇹 Ferrari,110984.14516129032,8.0
12,2,2,🇩🇪 BMW Sauber,108627.5625,3.0
13,2,4,🇫🇷 Renault,111086.75806451614,9.0
14,2,7,🇯🇵 Toyota,108563.3870967742,2.0
15,2,5,🇮🇹 Toro Rosso,109893.80327868853,6.0
16,2,9,🇦🇹 Red Bull,108630.47540983607,4.0
17,2,3,🇬🇧 Williams,110466.93548387097,7.0
18,2,10,🇮🇳 Force India,111093.06779661016,10.0
19,2,23,🇬🇧 Brawn,108203.29032258065,1.0
20,3,1,🇬🇧 McLaren,127356.58928571429,3.0
21,3,6,🇮🇹 Ferrari,130897.3552631579,8.0
22,3,2,🇩🇪 BMW Sauber,127943.36607142857,5.0
23,3,4,🇫🇷 Renault,129492.72727272728,7.0
24,3,7,🇯🇵 Toyota,132713.54054054053,10.0
25,3,5,🇮🇹 Toro Rosso,127656.83035714286,4.0
26,3,9,🇦🇹 Red Bull,126231.60714285714,1.0
27,3,3,🇬🇧 Williams,131083.5,9.0
28,3,10,🇮🇳 Force India,128768.6,6.0
29,3,23,🇬🇧 Brawn,127104.00892857143,2.0
30,4,1,🇬🇧 McLaren,97511.26315789473,4.0
31,4,6,🇮🇹 Ferrari,97922.61946902655,6.0
32,4,2,🇩🇪 BMW Sauber,98745.57142857143,10.0
33,4,4,🇫🇷 Renault,97669.19298245614,5.0
34,4,7,🇯🇵 Toyota,97091.35087719298,2.0
35,4,5,🇮🇹 Toro Rosso,98344.18584070797,8.0
36,4,9,🇦🇹 Red Bull,97291.15789473684,3.0
