driverStandingsId,raceId,driverId,points,position,positionText,wins,roundNum,roundName
1,18,1,10.0,1,1,1,1,🇦🇺 Australia
2,18,2,8.0,2,2,0,1,🇦🇺 Australia
3,18,3,6.0,3,3,0,1,🇦🇺 Australia
4,18,4,5.0,4,4,0,1,🇦🇺 Australia
5,18,5,4.0,5,5,0,1,🇦🇺 Australia
6,18,6,3.0,6,6,0,1,🇦🇺 Australia
7,18,7,2.0,7,7,0,1,🇦🇺 Australia
8,18,8,1.0,8,8,0,1,🇦🇺 Australia
9,19,1,14.0,1,1,1,2,🇲🇾 Malaysia
10,19,2,11.0,3,3,0,2,🇲🇾 Malaysia
11,19,3,6.0,6,6,0,2,🇲🇾 Malaysia
12,19,4,6.0,7,7,0,2,🇲🇾 Malaysia
13,19,5,10.0,4,4,0,2,🇲🇾 Malaysia
14,19,6,3.0,9,9,0,2,🇲🇾 Malaysia
15,19,7,2.0,10,10,0,2,🇲🇾 Malaysia
16,19,8,11.0,2,2,1,2,🇲🇾 Malaysia
17,19,9,8.0,5,5,0,2,🇲🇾 Malaysia
18,19,15,5.0,8,8,0,2,🇲🇾 Malaysia
19,19,17,2.0,11,11,0,2,🇲🇾 Malaysia
20,19,14,0.0,12,12,0,2,🇲🇾 Malaysia
21,19,18,0.0,13,13,0,2,🇲🇾 Malaysia
22,19,12,0.0,14,14,0,2,🇲🇾 Malaysia
23,19,21,0.0,15,15,0,2,🇲🇾 Malaysia
24,19,22,0.0,16,16,0,2,🇲🇾 Malaysia
25,19,19,0.0,17,17,0,2,🇲🇾 Malaysia
26,19,11,0.0,18,18,0,2,🇲🇾 Malaysia
27,20,1,14.0,3,3,1,3,🇧🇭 Bahrain
28,20,2,16.0,2,2,0,3,🇧🇭 Bahrain
29,20,3,7.0,8,8,0,3,🇧🇭 Bahrain
30,20,4,6.0,9,9,0,3,🇧🇭 Bahrain
31,20,5,14.0,5,5,0,3,🇧🇭 Bahrain
32,20,6,3.0,11,11,0,3,🇧🇭 Bahrain
33,20,7,2.0,12,12,0,3,🇧🇭 Bahrain
34,20,8,19.0,1,1,1,3,🇧🇭 Bahrain
35,20,9,14.0,4,4,0,3,🇧🇭 Bahrain
36,20,15,8.0,7,7,0,3,🇧🇭 Bahrain
37,20,17,4.0,10,10,0,3,🇧🇭 Bahrain
38,20,14,0.0,13,13,0,3,🇧🇭 Bahrain
39,20,18,0.0,15,15,0,3,🇧🇭 Bahrain
40,20,12,0.0,17,17,0,3,🇧🇭 Bahrain
41,20,21,0.0,18,18,0,3,🇧🇭 Bahrain
42,20,22,0.0,16,16,0,3,🇧🇭 Bahrain
43,20,19,0.0,19,19,0,3,🇧🇭 Bahrain
44,20,11,0.0,20,20,0,3,🇧🇭 Bahrain
45,20,13,10.0,6,6,1,3,🇧🇭 Bahrain
46,20,10,0.0,14,14,0,3,🇧🇭 Bahrain
47,20,16,0.0,21,21,0,3,🇧🇭 Bahrain
48,21,1,20.0,2,2,1,4,🇪🇸 Spain
49,21,2,16.0,5,5,0,4,🇪🇸 Spain
50,21,3,7.0,9,9,0,4,🇪🇸 Spain
51,21,4,6.0,10,10,0,4,🇪🇸 Spain
52,21,5,14.0,6,6,0,4,🇪🇸 Spain
53,21,6,5.0,11,11,0,4,🇪🇸 Spain
54,21,7,2.0,13,13,0,4,🇪🇸 Spain
55,21,8,29.0,1,1,2,4,🇪🇸 Spain
56,21,9,19.0,3,3,0,4,🇪🇸 Spain
57,21,15,9.0,7,7,0,4,🇪🇸 Spain
58,21,17,8.0,8,8,0,4,🇪🇸 Spain
